,Case,Date,Site,Lat,Long,Protected,Color,Count,Count.Duration,Count.Per.10million,School
48,48,1/27/2010,Pillar Point,37.503,122.4823,y,Purple,66,30,4.04,Pacific Collegiate School
49,49,1/28/2010,Pigeon Point,37.1829,122.3928,n,Orange,9,20,1.61,Farallones Marine Sanctuary Association
50,50,1/28/2010,Pigeon Point,37.1829,122.3928,n,Purple,45,20,5.06,Farallones Marine Sanctuary Association
51,51,3/20/2010,Natural Bridges,36.9502,122.0576,y,Orange,30,60,0.54,Farallones Marine Sanctuary Association
52,52,3/20/2010,Natural Bridges,36.9502,122.0576,y,Purple,96,60,1.94,Farallones Marine Sanctuary Association
53,53,3/25/2010,Pigeon Point,37.1829,122.3928,n,Orange,7,15,0.77,Center for Advanced Research and Technology (CART)
54,54,3/25/2010,Pigeon Point,37.1829,122.3928,n,Purple,25,15,2.84,Center for Advanced Research and Technology (CART)
55,55,4/23/2010,Natural Bridges,36.9502,122.0576,y,Orange,29,30,0.06,Pescadero HS
56,56,4/23/2010,Natural Bridges,36.9502,122.0576,y,Purple,105,30,1.08,Pescadero HS
57,57,5/20/2010,Pillar Point,37.503,122.4823,y,Orange,10,50,0.12,UCSC
58,58,5/20/2010,Pillar Point,37.503,122.4823,y,Purple,37,50,0.9,UCSC
59,59,5/21/2010,Pigeon Point,37.1829,122.3928,n,Orange,1,30,1.1,The Urban School
60,60,5/21/2010,Pigeon Point,37.1829,122.3928,n,Purple,18,30,0.03,The Urban School
61,61,6/12/2010,Pigeon Point,37.1829,122.3928,n,Orange,2,20,2.1,International School of the Peninsula
62,62,6/12/2010,Pigeon Point,37.1829,122.3928,n,Purple,15,20,0.6,International School of the Peninsula
63,63,7/27/2010,Davenport Landing,37.2364,86.92,n,Purple,11,5,2.9,James Logan High School
64,64,7/27/2010,Davenport Landing,37.2364,86.92,n,Orange,3,5,1.4,James Logan High School
65,65,8/3/2010,Davenport Landing,37.2364,86.92,n,Purple,21,5,0.54,UCSC
66,66,8/3/2010,Davenport Landing,37.2364,86.92,n,Orange,6,5,3.75,UCSC
67,67,8/11/2010,Davenport Landing,37.2364,86.92,n,Purple,29,5,2.1,UCSC
68,68,8/11/2010,Davenport Landing,37.2364,86.92,n,Orange,14,5,0.6,UCSC
69,69,8/11/2010,Pillar Point,37.503,122.4823,y,Orange,7,65,1.9,UCSC
70,70,8/11/2010,Pillar Point,37.503,122.4823,y,Purple,49,65,1.1,UCSC
71,71,9/10/2010,Davenport Landing,37.2364,86.92,n,Purple,21,5,2.1,Farallones Marine Sanctuary Association
72,72,9/10/2010,Davenport Landing,37.2364,86.92,n,Orange,6,5,0.8,Farallones Marine Sanctuary Association
73,73,10/7/2010,Davenport Landing,37.2364,86.92,n,Purple,19,10,1.3,UCSC
74,74,10/7/2010,Davenport Landing,37.2364,86.92,n,Orange,11,10,4.98,UCSC
75,75,10/30/2010,Davenport Landing,37.2364,86.92,n,Purple,21,15,2.3,UCSC
76,76,10/30/2010,Davenport Landing,37.2364,86.92,n,Orange,8,15,0.9,UCSC
77,77,11/4/2010,Pillar Point,37.503,122.4823,y,Orange,17,60,1.07,UCSC
78,78,11/4/2010,Pillar Point,37.503,122.4823,y,Purple,65,60,1.07,UCSC
79,79,12/3/2010,Davenport Landing,37.2364,86.92,n,Purple,23,15,4.37,The Urban School
80,80,12/3/2010,Davenport Landing,37.2364,86.92,n,Orange,9,15,3.52,The Urban School
81,81,12/4/2010,Pillar Point,37.503,122.4823,y,Orange,14,30,1.53,UCSC
82,82,12/4/2010,Pillar Point,37.503,122.4823,y,Purple,14,30,3.91,UCSC
83,83,12/4/2010,Pillar Point,37.503,122.4823,y,Orange,57,30,1.3,California Academy of Sciences
84,84,12/4/2010,Pillar Point,37.503,122.4823,y,Purple,46,30,5.21,California Academy of Sciences
85,85,1/15/2011,Pillar Point,37.503,122.4823,y,Orange,20,50,0.18,California Academy of Sciences
86,86,1/15/2011,Pillar Point,37.503,122.4823,y,Purple,51,50,0.42,California Academy of Sciences
87,87,1/28/2011,Pillar Point,37.503,122.4823,y,Orange,17,30,0.18,Romberg Tiburon Center
88,88,1/28/2011,Pillar Point,37.503,122.4823,y,Purple,68,30,1.32,Romberg Tiburon Center
